apr 28 22:59:51 <__adrian>	tml  is kinda is.
apr 28 22:59:52 <gagabone>	tml: it's a usually-great nvidia screen recording tech.
apr 28 23:00:12 <gagabone>	which seems to use a mix of hardware and software to accomplish results that (usually) are so far beyond any other thing like that it's ridiculous.
apr 28 23:00:29 <ckwalsh>	xreal, an interesting note is i can also repro this behavior in hhvm
apr 28 23:00:36 <gagabone>	but today, for some reason, it messed the audio up completely and caused tons of cuts in the video.
apr 28 23:00:37 <xreal>	tml: nope, isn't much faster. just a liiitle bit. 12,5 % faster
apr 28 23:01:15 <xreal>	ckwalsh: good to hear that it's reproducable.
apr 28 23:01:27 <lasdam>	well thanks for some helpful thoughts about this problem of mine, i'll be going off to bed now. have a great day guys.
apr 28 23:01:44 <gagabone>	not the same bed, though. just at the same time.
apr 28 23:01:50 <ckwalsh>	or not, suddenly it doesn't reproduce :s
apr 28 23:02:42 <tml>	eh - you can't trust timings in hhvm
apr 28 23:02:53 <tml>	jits will catch you out
apr 28 23:03:44 <compact>	hey. i have a base64, which i've decoded. but i can't get it to write to a tiff?
apr 28 23:04:40 <tml>	compact: code?
apr 28 23:05:10 <tml>	xreal: i cannot reproduce it on my machine.
apr 28 23:05:11 <ckwalsh>	eh, i can't get it to repro again
apr 28 23:05:16 <tml>	they're always within 10% of each other
apr 28 23:05:30 <ckwalsh>	tml, true, have to warm up the jit
apr 28 23:05:33 <xreal>	tml: i'm on windows, let me check this on a linux machine.
apr 28 23:06:08 <compact>	ah all good, got it
apr 28 23:06:09 <compact>	thanks anyway
apr 28 23:06:38 <ckwalsh>	xreal, i did seem to repro it for a couple runs, but can't repro it now, sorry
apr 28 23:08:35 <xreal>	i was able to reproduce it on a jessie and wheezy system.
apr 28 23:08:43 <xreal>	the funny thing: memory usage doesn't change.
apr 28 23:09:13 <xreal>	with sort: 1008.2006454468, without: 625.51498413086
apr 28 23:10:32 <tml>	xreal: that's a small enough difference to be purely noise
apr 28 23:11:48 <tml>	you're talking about ~0.004 seconds
apr 28 23:12:45 <xreal>	tml: yes, but reproduceable :)
apr 28 23:12:54 <xreal>	tml: but i know what you mean :)
apr 28 23:13:26 <tml>	xreal: http://codepad.viper-7.com/yfani3 - coming in at around 800-900 microseconds, regardless of whether or not i put sort() in
apr 28 23:13:56 <xreal>	tml: nah, not 800-900 ms, it's  pow(10, 5) :)
apr 28 23:13:59 <tml>	i've seen values as high as 1800 for un-sorted()
apr 28 23:14:23 <tml>	and as low as 697 for sort()'d
apr 28 23:15:08 <dietdrk>	writing something like a crm platform. 1945/33036 loc are mine. others are libraries, etc. is this normal?
apr 28 23:15:44 <dietdrk>	html purifier is 28000. mandrill is 2500.
apr 28 23:15:47 <tml>	dietdrk: it wouldn't be normal for me, but it might be normal for you. what's the concern?
apr 28 23:16:25 <dietdrk>	i guess the numbers irk me.
apr 28 23:16:32 <tml>	why?
apr 28 23:17:00 <tml>	you feel like you did too much?
apr 28 23:17:01 <tml>	too little?
apr 28 23:17:06 <dietdrk>	too little.
apr 28 23:17:07 <tml>	you just want to be like everyone else?
apr 28 23:17:10 <tml>	*shrug*
apr 28 23:17:13 <dietdrk>	i guess it's irrational.
apr 28 23:17:20 <tml>	dietdrk: i concur
apr 28 23:17:31 <dietdrk>	i know i need mandrill. i think htmlpurifier is something i need.
apr 28 23:17:56 <dietdrk>	and i'll wave my hands and tell myself someone else checked out the libraries.
apr 28 23:18:17 <ijoshuahd>	are their any alternative for array_rand()? because it doesnt seem to randomize things at all.
apr 28 23:18:26 <tml>	there's no reason you should write one more line of code than is absolutely required to finish the job
apr 28 23:18:27 <dietdrk>	shuffle($array)
apr 28 23:18:41 <ijoshuahd>	i dont want to shuffle the array :/
apr 28 23:18:46 <tml>	don't use shuffle
apr 28 23:18:58 <tml>	(we literally just had that conversation)
