**** BEGIN LOGGING AT Tue Apr 28 22:59:41 2015

Apr 28 22:59:51 <__adrian>	TML  is kinda is.
Apr 28 22:59:52 <gagabone>	TML: It's a usually-great NVIDIA screen recording tech.
Apr 28 23:00:12 <gagabone>	Which seems to use a mix of hardware and software to accomplish results that (usually) are so far beyond any other thing like that it's ridiculous.
Apr 28 23:00:29 <ckwalsh>	xreal, An interesting note is I can also repro this behavior in hhvm
Apr 28 23:00:36 <gagabone>	But today, for some reason, it messed the audio up completely and caused tons of cuts in the video.
Apr 28 23:00:37 <xreal>	TML: nope, isn't much faster. just a liiitle bit. 12,5 % faster
Apr 28 23:01:15 <xreal>	ckwalsh: good to hear that it's reproducable.
Apr 28 23:01:27 <lasdam>	well thanks for some helpful thoughts about this problem of mine, I'll be going off to bed now. have a great day guys.
Apr 28 23:01:37 *	gagabone goes to bed with lasdam
Apr 28 23:01:44 <gagabone>	Not the same bed, though. Just at the same time.
Apr 28 23:01:50 <ckwalsh>	Or not, suddenly it doesn't reproduce :S
Apr 28 23:02:42 <TML>	eh - you can't trust timings in hhvm
Apr 28 23:02:53 <TML>	JITs will catch you out
Apr 28 23:03:44 <compact>	hey. i have a base64, which I've decoded. but i can't get it to write to a tiff?
Apr 28 23:04:40 <TML>	compact: code?
Apr 28 23:05:10 <TML>	xreal: I cannot reproduce it on my machine.
Apr 28 23:05:11 <ckwalsh>	Eh, I can't get it to repro again
Apr 28 23:05:16 <TML>	They're always within 10% of each other
Apr 28 23:05:30 <ckwalsh>	TML, True, have to warm up the jit
Apr 28 23:05:33 <xreal>	TML: I'm on Windows, let me check this on a linux machine.
Apr 28 23:06:08 <compact>	ah all good, got it
Apr 28 23:06:09 <compact>	thanks anyway
Apr 28 23:06:38 <ckwalsh>	xreal, I did seem to repro it for a couple runs, but can't repro it now, sorry
Apr 28 23:08:35 <xreal>	I was able to reproduce it on a Jessie and Wheezy system.
Apr 28 23:08:43 <xreal>	The funny thing: memory usage doesn't change.
Apr 28 23:09:13 <xreal>	with sort: 1008.2006454468, without: 625.51498413086
Apr 28 23:10:32 <TML>	xreal: That's a small enough difference to be purely noise
Apr 28 23:11:48 <TML>	You're talking about ~0.004 seconds
Apr 28 23:12:45 <xreal>	TML: yes, but reproduceable :)
Apr 28 23:12:54 <xreal>	TML: But I know what you mean :)
Apr 28 23:13:26 <TML>	xreal: http://codepad.viper-7.com/YfaNI3 - coming in at around 800-900 microseconds, regardless of whether or not I put sort() in
Apr 28 23:13:56 <xreal>	TML: nah, not 800-900 ms, it's  pow(10, 5) :)
Apr 28 23:13:59 <TML>	I've seen values as high as 1800 for un-sorted()
Apr 28 23:14:23 <TML>	and as low as 697 for sort()'d
Apr 28 23:15:08 <DietDrK>	Writing something like a CRM platform. 1945/33036 LOC are mine. others are libraries, etc. Is this normal?
Apr 28 23:15:44 <DietDrK>	HTML Purifier is 28000. Mandrill is 2500.
Apr 28 23:15:47 <TML>	DietDrK: It wouldn't be normal for me, but it might be normal for you. What's the concern?
Apr 28 23:16:25 <DietDrK>	I guess the numbers irk me.
Apr 28 23:16:32 <TML>	Why?
Apr 28 23:17:00 <TML>	you feel like you did too much?
Apr 28 23:17:01 <TML>	too little?
Apr 28 23:17:06 <DietDrK>	too little.
Apr 28 23:17:07 <TML>	you just want to be like everyone else?
Apr 28 23:17:10 <TML>	*shrug*
Apr 28 23:17:13 <DietDrK>	I guess it's irrational.
Apr 28 23:17:20 <TML>	DietDrK: I concur
Apr 28 23:17:31 <DietDrK>	I know I need Mandrill. I think HTMLPurifier is something I need.
Apr 28 23:17:56 <DietDrK>	and I'll wave my hands and tell myself someone else checked out the libraries.
Apr 28 23:18:17 <iJoshuaHD>	are their any alternative for array_rand()? because it doesnt seem to randomize things at all.
